cellid,enodebid,physcellid,time_timestamp,localcellid,eutrancellid1,eutrancellid2,eutrancellid3,avg_dlrsrp_s,avg_dlrsrq_s,avg_longitude,avg_latitude,avg_dlearfcn,avg_dlrsrp_d1,avg_dlrsrq_d1,avg_dlrsrp_d2,avg_dlrsrq_d2,avg_dlrsrp_d3,avg_dlrsrq_d3,avg_dlcqi,avg_ta
81,27394,229,01:34.0,81,6050129,6025296,7012946,-104,-12,79.729097,8.048425,525,-109,-15,-117,-20,-117,-20,11,10
21,21653,174,01:12.0,21,6167297,7164949,6564610,-99,-14.5,80.013179,9.666064,1725,-102,-18.5,-103,-17.5,-104,-20,5,8
11,20424,126,01:11.0,11,5228318,,,-96,-12.5,81.554859,7.903502,1725,-102,-17,,,,,10,31
11,20424,126,01:26.0,11,6130689,,,-108.6,-14.1,81.555413,7.908543,1725,-110.2,-15.5,,,,,6,24.5
2,20424,128,01:19.0,2,5903872,6127104,,-110,-15,81.54395,7.925045,1725,-112,-17.5,-113,-16.5,,,6,31
2,20424,128,00:34.0,2,5228547,,,-102.8,-11.8,81.558283,7.922598,1725,-107.4,-15.8,,,,,8.8,12.4
2,20424,128,01:58.0,2,6155530,6127104,6130688,-109,-14.5,81.501143,7.928249,1725,-115,-19,-115,-20,-116,-20,5,92
1,24604,65,01:18.0,1,5996033,,,-111,-15,80.667707,8.279377,1725,-120,-20,,,,,,
1,24829,238,00:16.0,1,6486274,,,-112.5,-13.3,81.023431,7.63132,1725,-116,-16.5,,,,,6.5,24.8
1,20680,377,01:06.0,1,5994241,5994240,,-92.5,-13,80.110011,7.124198,1725,-96,-16.5,-99,-19.3,,,13.5,7
1,20680,377,01:18.0,1,5994241,,,-95,-13,80.110449,7.122364,1725,-97,-14,,,,,10,7
0,23882,408,01:31.0,0,6344706,5820426,,-96,-10.5,81.699377,7.730492,1725,-106,-20,-107,-20,,,12,5
